PhD,st_abbr,countyname,pollutant,revoked_naaqs,area_name,split,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,effec_rede,nonattain,class,part,population,fips_state,fips_cnty,pollorder,composid,exportdt
ALASKA,AK,Fairbanks North Star Borough,PM-2.5 (2006),,"Fairbanks, AK",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Serious,P,87456,02,090,d,PM-2.5.2006.Fairbanks,4/30/22
ALASKA,AK,Juneau City and Borough,PM-10 (1987),,"Juneau, AK",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,,,,,,,,,,7/8/13,,Moderate,P,14030,02,110,B,PM-10.1990.Juneau,4/30/22
ARIZONA,AZ,Cochise County,PM-10 (1987),,"Paul Spur/Douglas (Cochise County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,17495,04,003,B,PM-10.1990.Douglas,4/30/22
ARIZONA,AZ,Cochise County,Sulfur Dioxide (1971),,"Douglas (Cochise County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,,,,,,,,,,,,,,,,,5/1/06,,Primary,P,17495,04,003,A,SO2.1978.Douglas,4/30/22
ARIZONA,AZ,Gila County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,P,56,04,007,f,Ozone_8-hr.2015.Phoenix,4/30/22
ARIZONA,AZ,Gila County,Lead (2008),,"Hayden, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,14,15,16,17,18,19,20,21,  -   -,Yes,,P,1284,04,007,A,Lead.2008.Hayden,4/30/22
ARIZONA,AZ,Gila County,PM-10 (1987),,"Hayden, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,1587,04,007,B,PM-10.1990.Hayden,4/30/22
ARIZONA,AZ,Gila County,PM-10 (1987),,"Miami, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,15218,04,007,B,PM-10.1990.Miami,4/30/22
ARIZONA,AZ,Gila County,PM-10 (1987),,"Payson, AZ",FALSE,,,94,95,96,97,98,99,00,01,,,,,,,,,,,,,,,,,,,,,8/26/02,,Moderate,P,5333,04,007,B,PM-10.1990.Payson,4/30/22
ARIZONA,AZ,Gila County,Sulfur Dioxide (1971),,"Miami (Gila County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,,,,,,,,,,,,,,,,3/26/07,,Primary,P,1514,04,007,A,SO2.1978.Miami,4/30/22
ARIZONA,AZ,Gila County,Sulfur Dioxide (2010),,"Hayden, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,13,14,15,16,17,18,19,20,21,  -   -,Yes,,P,1284,04,007,A,SO2.2010.Hayden,4/30/22
ARIZONA,AZ,Gila County,Sulfur Dioxide (2010),,"Miami, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,13,14,15,16,17,18,19,20,21,  -   -,Yes,,P,14995,04,007,A,SO2.2010.Miami,4/30/22
ARIZONA,AZ,Greenlee County,Sulfur Dioxide (1971),,"Morenci (Greenlee County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,6/25/04,,Primary,P,8437,04,011,A,SO2.1978.Morenci,4/30/22
ARIZONA,AZ,Maricopa County,1-Hour Ozone (1979),Revoked,"Phoenix, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,6/14/05,,Serious,P,3763324,04,013,D,Ozone_1-hr.1990.Phoenix,4/30/22
ARIZONA,AZ,Maricopa County,8-Hour Ozone (1997),Revoked,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,,,,,,,,,10/17/14,,Marginal,P,3801700,04,013,f,Ozone_8-hr.1997.Phoenix,4/30/22
ARIZONA,AZ,Maricopa County,8-Hour Ozone (2008),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,3802415,04,013,e,Ozone_8-hr.2008.Phoenix,4/30/22
ARIZONA,AZ,Maricopa County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,P,3802075,04,013,f,Ozone_8-hr.2015.Phoenix,4/30/22
ARIZONA,AZ,Maricopa County,Carbon Monoxide (1971),,"Phoenix, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,4/8/05,,Serious,P,3763324,04,013,A,CO.1990.Phoenix,4/30/22
ARIZONA,AZ,Maricopa County,PM-10 (1987),,"Phoenix, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Serious,P,3817145,04,013,A,PM-10.1990.Phoenix,4/30/22
ARIZONA,AZ,Mohave County,PM-10 (1987),,"Mohave Co, AZ",FALSE,,,94,95,96,97,98,99,00,01,,,,,,,,,,,,,,,,,,,,,8/26/02,,Moderate,P,10710,04,015,B,PM-10.1990.Bullhead_City,4/30/22
ARIZONA,AZ,Pima County,Carbon Monoxide (1971),,"Tucson, AZ",FALSE,92,93,94,95,96,97,98,99,,,,,,,,,,,,,,,,,,,,,,,7/10/00,,Not Classified,P,595314,04,019,D,CO.1990.Tucson,4/30/22
ARIZONA,AZ,Pima County,PM-10 (1987),,"Ajo (Pima County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,,,9/3/20,,Moderate,P,8823,04,019,B,PM-10.1990.Ajo,4/30/22
ARIZONA,AZ,Pima County,PM-10 (1987),,"Rillito, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,588,04,019,B,PM-10.1990.Rillito,4/30/22
ARIZONA,AZ,Pima County,Sulfur Dioxide (1971),,"Ajo (Pima County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,,,,,,,,,,,,,,,,,,,1/2/04,,Primary,P,8823,04,019,A,SO2.1978.Ajo,4/30/22
ARIZONA,AZ,Pinal County,8-Hour Ozone (1997),Revoked,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,,,,,,,,,10/17/14,,Marginal,P,46927,04,021,f,Ozone_8-hr.1997.Phoenix,4/30/22
ARIZONA,AZ,Pinal County,8-Hour Ozone (2008),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,47212,04,021,e,Ozone_8-hr.2008.Phoenix,4/30/22
ARIZONA,AZ,Pinal County,8-Hour Ozone (2015),,"Phoenix-Mesa, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,P,143009,04,021,f,Ozone_8-hr.2015.Phoenix,4/30/22
ARIZONA,AZ,Pinal County,Lead (2008),,"Hayden, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,14,15,16,17,18,19,20,21,  -   -,Yes,,P,3346,04,021,A,Lead.2008.Hayden,4/30/22
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Hayden, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,9461,04,021,B,PM-10.1990.Hayden,4/30/22
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Miami, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,0,04,021,B,PM-10.1990.Miami,4/30/22
ARIZONA,AZ,Pinal County,PM-10 (1987),,"Phoenix, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Serious,P,35840,04,021,A,PM-10.1990.Phoenix,4/30/22
ARIZONA,AZ,Pinal County,PM-10 (1987),,"West Pinal, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Serious,P,283032,04,021,A,PM-10.1990.Pinal_Co,4/30/22
ARIZONA,AZ,Pinal County,PM-2.5 (2006),,"West Central Pinal, AZ",FALSE,,,,,,,,,,,,,,,,,,,,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,52314,04,021,e,PM-2.5.2006.Pinal_Co,4/30/22
ARIZONA,AZ,Pinal County,Sulfur Dioxide (1971),,"Hayden (Pinal County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Primary,P,4844,04,021,A,SO2.1978.Hayden,4/30/22
ARIZONA,AZ,Pinal County,Sulfur Dioxide (1971),,"San Manual (Pinal County), AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,,,,,,,,,,,,,,,3/18/08,,Primary,P,16158,04,021,A,SO2.1978.San_Manuel,4/30/22
ARIZONA,AZ,Pinal County,Sulfur Dioxide (2010),,"Hayden, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,13,14,15,16,17,18,19,20,21,  -   -,Yes,,P,3346,04,021,A,SO2.2010.Hayden,4/30/22
ARIZONA,AZ,Santa Cruz County,PM-10 (1987),,"Nogales, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,30359,04,023,B,PM-10.1990.Nogales,4/30/22
ARIZONA,AZ,Santa Cruz County,PM-2.5 (2006),,"Nogales, AZ",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,30622,04,023,e,PM-2.5.2006.Nogales,4/30/22
ARIZONA,AZ,Yuma County,8-Hour Ozone (2015),,"Yuma, AZ",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,P,87254,04,027,f,Ozone_8-hr.2015.Yuma,4/30/22
ARIZONA,AZ,Yuma County,PM-10 (1987),,"Yuma, AZ",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,100710,04,027,B,PM-10.1990.Yuma,4/30/22
ARKANSAS,AR,Crittenden County,8-Hour Ozone (1997),Revoked,"Memphis, TN-AR",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,,,,,,,,,,,,,4/23/10,,Moderate,W,50902,05,035,e,Ozone_8-hr.1997.Memphis,4/30/22
ARKANSAS,AR,Crittenden County,8-Hour Ozone (2008),,"Memphis, TN-MS-AR",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,,,,,,,5/25/16,,Marginal,W,50902,05,035,f,Ozone_8-hr.2008.Memphis,4/30/22
CALIFORNIA,CA,Alameda County,1-Hour Ozone (1979),Revoked,"San Francisco Bay Area, CA",FALSE,,,,,,,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,  -   -,Yes,Other,W,1510271,06,001,I,Ozone_1-hr.1990.San_Francisco,4/30/22
CALIFORNIA,CA,Alameda County,8-Hour Ozone (1997),Revoked,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Marginal,W,1510271,06,001,f,Ozone_8-hr.1997.San_Francisco,4/30/22
CALIFORNIA,CA,Alameda County,8-Hour Ozone (2008),,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Marginal,W,1510271,06,001,f,Ozone_8-hr.2008.San_Francisco,4/30/22
CALIFORNIA,CA,Alameda County,8-Hour Ozone (2015),,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,W,1510271,06,001,f,Ozone_8-hr.2015.San_Francisco,4/30/22
CALIFORNIA,CA,Alameda County,Carbon Monoxide (1971),,"San Francisco-Oakland-San Jose, CA",FALSE,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,6/1/98,,Moderate <= 12.7ppm,P,715578,06,001,C,CO.1990.San_Francisco,4/30/22
CALIFORNIA,CA,Alameda County,PM-2.5 (2006),,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,W,1510271,06,001,e,PM-2.5.2006.San_Francisco,4/30/22
CALIFORNIA,CA,Amador County,8-Hour Ozone (1997),Revoked,"Amador and Calaveras Cos. (Central Mountain Cos.), CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Moderate,W,38091,06,005,e,Ozone_8-hr.1997.Amador_and_Calaveras_Cos,4/30/22
CALIFORNIA,CA,Amador County,8-Hour Ozone (2015),,"Amador County, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,W,38091,06,005,f,Ozone_8-hr.2015.Amador_Co,4/30/22
CALIFORNIA,CA,Butte County,1-Hour Ozone (1979),Revoked,"Chico, CA",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,  -   -,Yes,Section 185A,W,220000,06,007,J,Ozone_1-hr.1990.Chico,4/30/22
CALIFORNIA,CA,Butte County,8-Hour Ozone (1997),Revoked,"Chico, CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Marginal,W,220000,06,007,f,Ozone_8-hr.1997.Chico,4/30/22
CALIFORNIA,CA,Butte County,8-Hour Ozone (2008),,"Chico (Butte County), CA",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Marginal,W,220000,06,007,f,Ozone_8-hr.2008.Chico,4/30/22
CALIFORNIA,CA,Butte County,8-Hour Ozone (2015),,"Butte County, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,W,220000,06,007,f,Ozone_8-hr.2015.Chico,4/30/22
CALIFORNIA,CA,Butte County,Carbon Monoxide (1971),,"Chico, CA",FALSE,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,6/1/98,,Moderate <= 12.7ppm,P,86963,06,007,C,CO.1990.Chico,4/30/22
CALIFORNIA,CA,Butte County,PM-2.5 (2006),,"Chico, CA",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,,,,,8/10/18,,Moderate,P,217626,06,007,e,PM-2.5.2006.Chico,4/30/22
CALIFORNIA,CA,Calaveras County,8-Hour Ozone (1997),Revoked,"Amador and Calaveras Cos. (Central Mountain Cos.), CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Moderate,W,45578,06,009,e,Ozone_8-hr.1997.Amador_and_Calaveras_Cos,4/30/22
CALIFORNIA,CA,Calaveras County,8-Hour Ozone (2008),,"Calaveras County, CA",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Marginal,W,45578,06,009,f,Ozone_8-hr.2008.Calaveras_Co,4/30/22
CALIFORNIA,CA,Calaveras County,8-Hour Ozone (2015),,"Calaveras County, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,W,45578,06,009,f,Ozone_8-hr.2015.Calaveras_Co,4/30/22
CALIFORNIA,CA,Contra Costa County,1-Hour Ozone (1979),Revoked,"San Francisco Bay Area, CA",FALSE,,,,,,,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,  -   -,Yes,Other,W,1049025,06,013,I,Ozone_1-hr.1990.San_Francisco,4/30/22
CALIFORNIA,CA,Contra Costa County,8-Hour Ozone (1997),Revoked,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Marginal,W,1049025,06,013,f,Ozone_8-hr.1997.San_Francisco,4/30/22
CALIFORNIA,CA,Contra Costa County,8-Hour Ozone (2008),,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Marginal,W,1049025,06,013,f,Ozone_8-hr.2008.San_Francisco,4/30/22
CALIFORNIA,CA,Contra Costa County,8-Hour Ozone (2015),,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Marginal,W,1049025,06,013,f,Ozone_8-hr.2015.San_Francisco,4/30/22
CALIFORNIA,CA,Contra Costa County,Carbon Monoxide (1971),,"San Francisco-Oakland-San Jose, CA",FALSE,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,6/1/98,,Moderate <= 12.7ppm,P,848335,06,013,C,CO.1990.San_Francisco,4/30/22
CALIFORNIA,CA,Contra Costa County,PM-2.5 (2006),,"San Francisco Bay Area, CA",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,W,1049025,06,013,e,PM-2.5.2006.San_Francisco,4/30/22
CALIFORNIA,CA,El Dorado County,1-Hour Ozone (1979),Revoked,"Sacramento Metro, CA",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,  -   -,Yes,Severe-15,P,143832,06,017,C,Ozone_1-hr.1990.Sacramento,4/30/22
CALIFORNIA,CA,El Dorado County,8-Hour Ozone (1997),Revoked,"Sacramento Metro, CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Severe 15,P,151823,06,017,c,Ozone_8-hr.1997.Sacramento,4/30/22
CALIFORNIA,CA,El Dorado County,8-Hour Ozone (2008),,"Sacramento Metro, CA",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Severe 15,P,150517,06,017,c,Ozone_8-hr.2008.Sacramento,4/30/22
CALIFORNIA,CA,El Dorado County,8-Hour Ozone (2015),,"Sacramento Metro, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Serious,P,150297,06,017,d,Ozone_8-hr.2015.Sacramento,4/30/22
CALIFORNIA,CA,El Dorado County,Carbon Monoxide (1971),,"Lake Tahoe South Shore, CA",FALSE,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,6/1/98,,Moderate <= 12.7ppm,P,43110,06,017,C,CO.1990.Lake_Tahoe_South,4/30/22
CALIFORNIA,CA,El Dorado County,PM-2.5 (2006),,"Sacramento, CA",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Moderate,P,144214,06,017,e,PM-2.5.2006.Sacramento,4/30/22
CALIFORNIA,CA,Fresno County,1-Hour Ozone (1979),Revoked,"San Joaquin Valley, CA",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,,,,,,,,,,,,,,,,,,  -   -,Yes,Extreme,W,930450,06,019,A,Ozone_1-hr.1990.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,8-Hour Ozone (1997),Revoked,"San Joaquin Valley, CA",FALSE,,,,,,,,,,,,,04,05,06,07,08,09,10,11,12,13,14,,,,,,,,  -   -,Yes,Extreme,W,930450,06,019,a,Ozone_8-hr.1997.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,8-Hour Ozone (2008),,"San Joaquin Valley, CA",FALSE,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Extreme,W,930450,06,019,a,Ozone_8-hr.2008.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,8-Hour Ozone (2015),,"San Joaquin Valley, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,20,21,  -   -,Yes,Extreme,W,930450,06,019,a,Ozone_8-hr.2015.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,Carbon Monoxide (1971),,"Fresno, CA",FALSE,92,93,94,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,6/1/98,,Moderate > 12.7ppm,P,631483,06,019,B,CO.1990.Fresno,4/30/22
CALIFORNIA,CA,Fresno County,PM-10 (1987),,"San Joaquin Valley Air Basin, CA",FALSE,92,93,94,95,96,97,98,99,00,01,02,03,04,05,06,07,,,,,,,,,,,,,,,12/12/08,,Serious,W,930450,06,019,A,PM-10.1990.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,PM-2.5 (1997),,"San Joaquin Valley, CA",FALSE,,,,,,,,,,,,,,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Serious,W,930450,06,019,d,PM-2.5.1997.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,PM-2.5 (2006),,"San Joaquin Valley, CA",FALSE,,,,,,,,,,,,,,,,,,09,10,11,12,13,14,15,16,17,18,19,20,21,  -   -,Yes,Serious,W,930450,06,019,d,PM-2.5.2006.San_Joaquin_Valley,4/30/22
CALIFORNIA,CA,Fresno County,PM-2.5 (2012),,"San Joaquin Valley, CA",FALSE,,,,,,,,,,,,,,,,,,,,,,,,15,16,17,18,19,20,21,  -   -,Yes,Serious,W,930450,06,019,A,PM-2.5.2012.San_Joaquin_Valley,4/30/22
